ticket_id,issue_type,issue_description,case_owner,case_owner_description,street_address,city,state_province,zip_postal_code,neighborhood_district_ward_etc,created_year_month,ticket_created_date_time,ticket_last_updated_date_time,ticket_closed_date_time,ticket_status,x_coordinate,y_coordinate,latitude,longitude,location_geo_coded,method_received,goal_days,actual_completed_days,days_open
18-10212627,ANIMAL BITE TO A PERSON,NA,Animal_Services,Animal Services,148 IROQUOIS ST,City_of_Miami_Springs,Florida,33166,District 6,20185,2018-05-30,2018-06-01,NA,OPEN,887483.498,540823.123,25.819823,-80.296813,"148 IROQUOIS ST
MIAMI, Florida 33166
(25.819823, -80.296813)",FAX,14,NA,18
18-10214312,ANIMAL BITE TO A PERSON,NA,Animal_Services,Animal Services,11021 SW 142ND AVE,Miami_Dade_County,Florida,33186,District 11,20185,2018-05-30,2018-06-04,NA,OPEN,845917.316,484160.623,25.664482,-80.423918,"11021 SW 142ND AVE
MIAMI, Florida 33186
(25.664482, -80.423918)",FAX,14,NA,18
18-10214866,STRAY / DOG-AT-LARGE,NA,Animal_Services,Animal Services,1252 NW 46TH ST,City_of_Miami,Florida,33142,District 3,20185,2018-05-31,2018-06-01,NA,OPEN,913666.123,539990.125,25.817124,-80.21724,"1252 NW 46TH ST
MIAMI, Florida 33142
(25.817124, -80.21724)",PHONE,3,NA,17
18-10215538,STRAY / DOG-AT-LARGE,NA,Animal_Services,Animal Services,21200 NW 2ND AVE,City_of_Miami_Gardens,Florida,33169,District 1,20185,2018-05-31,2018-06-01,NA,OPEN,916796.42,596321.132,25.972047,-80.20669,"21200 NW 2ND AVE
MIAMI, Florida 33169
(25.972047, -80.20669)",WEB,3,NA,17
18-10216495,STRAY / DOG-AT-LARGE,NA,Animal_Services,Animal Services,8700 RIDGELAND DR,Town_of_Cutler_Bay,Florida,33157,District 8,20185,2018-05-31,2018-06-01,NA,OPEN,876260.435,458224.722,25.592731,-80.332198,"8700 RIDGELAND DR
MIAMI, Florida 33157
(25.592731, -80.332198)",WEB,3,NA,17
18-10217511,STRAY / DOG-AT-LARGE,NA,Animal_Services,Animal Services,950 SW 87TH AVE,Miami_Dade_County,Florida,33174,District 10,20186,2018-06-01,2018-06-01,NA,OPEN,874561.785,519222.54,25.760578,-80.336423,"950 SW 87TH AVE
MIAMI, Florida 33174
(25.760578, -80.336423)",PHONE,3,NA,16
18-10217651,STRAY / DOG-AT-LARGE,NA,Animal_Services,Animal Services,1090 NW 196TH TER,City_of_Miami_Gardens,Florida,33169,District 1,20186,2018-06-01,2018-06-01,NA,OPEN,912482.372,589804.247,25.95419,-80.219938,"1090 NW 196TH TER
MIAMI, Florida 33169
(25.95419, -80.219938)",PHONE,3,NA,16
18-10217875,TETHERED DOG,NA,Animal_Services,Animal Services,9674 NW 10TH AVE,Miami_Dade_County,Florida,33150,District 2,20186,2018-06-01,2018-06-01,NA,OPEN,914624.587,556823.295,25.863419,-80.214021,"9674 NW 10TH AVE
MIAMI, Florida 33150
(25.863419, -80.214021)",PHONE,14,NA,16
18-10217924,BREEDER / PET STORE COMPLAINTS AND INSPECTIONS,NA,Animal_Services,Animal Services,8700 SW 137TH AVE,Miami_Dade_County,Florida,33183,District 11,20186,2018-06-01,2018-06-01,NA,OPEN,848116.585,492150.81,25.686439,-80.417134,"8700 SW 137TH AVE
MIAMI, Florida 33183
(25.686439, -80.417134)",WEB,15,NA,16
18-10217999,STRAY / DOG-AT-LARGE,NA,Animal_Services,Animal Services,8310 NW 10TH AVE,Miami_Dade_County,Florida,33150,District 2,20186,2018-06-01,2018-06-01,NA,OPEN,914799.748,552285.31,25.850932,-80.213571,"8310 NW 10TH AVE
MIAMI, Florida 33150
(25.850932, -80.213571)",PHONE,3,NA,16
18-10218155,STRAY / DOG-AT-LARGE,NA,Animal_Services,Animal Services,154 NW 122ND AVE,Miami_Dade_County,Florida,33182,District 12,20186,2018-06-01,2018-06-01,NA,OPEN,855926.572,522270.791,25.769212,-80.392999,"154 NW 122ND AVE
MIAMI, Florida 33182
(25.769212, -80.392999)",PHONE,3,NA,16
18-10218323,LOST PET,NA,Animal_Services,Animal Services,11775 SW 183RD ST,Miami_Dade_County,Florida,33177,District 9,20186,2018-06-01,2018-06-01,NA,OPEN,859650.874,460253.001,25.598533,-80.382563,"11775 SW 183RD ST
MIAMI, Florida 33177
(25.598533, -80.382563)",PHONE,3,NA,16
18-10218368,STRAY / DOG-AT-LARGE,NA,Animal_Services,Animal Services,5527 W 27TH AVE,City_of_Hialeah,Florida,33016,District 12,20186,2018-06-01,2018-06-01,NA,OPEN,874277.703,559912.565,25.872531,-80.336662,"5527 W 27TH AVE
MIAMI, Florida 33016
(25.872531, -80.336662)",PHONE,3,NA,16
18-10218487,ANIMAL BITE TO A PERSON,NA,Animal_Services,Animal Services,740 10TH ST,City_of_Miami_Beach,Florida,33139,District 5,20186,2018-06-01,2018-06-03,NA,OPEN,940561.069,526833.18,25.780464,-80.135753,"740 10TH ST
MIAMI, Florida 33139
(25.780464, -80.135753)",PHONE,14,NA,16
